phase,iteration,meco_mach,pitch_time_0,pitch_angle_0,pitch_time_1,pitch_angle_1,pitch_time_2,pitch_angle_2,pitch_time_3,pitch_angle_3,pitch_time_4,pitch_angle_4,coast_s,upper_burn_s,upper_ignition_delay_s,azimuth_deg,upper_pitch_time_0,upper_pitch_angle_0,upper_pitch_time_1,upper_pitch_angle_1,upper_pitch_time_2,upper_pitch_angle_2,upper_throttle_level_0,upper_throttle_level_1,upper_throttle_level_2,upper_throttle_level_3,upper_throttle_switch_ratio_0,upper_throttle_switch_ratio_1,upper_throttle_switch_ratio_2,booster_throttle_level_0,booster_throttle_level_1,booster_throttle_level_2,booster_throttle_level_3,booster_throttle_switch_ratio_0,booster_throttle_switch_ratio_1,booster_throttle_switch_ratio_2,cost,fuel,orbit_error,perigee_error_m,apoapsis_error_m,max_altitude_m,cutoff_reason,perigee_alt_m,apoapsis_alt_m,eccentricity,fuel_main_kg,fuel_circ_kg,fuel_total_kg,circ_dv_mps,circ_applied,perigee_alt_pre_circ_m,apoapsis_alt_pre_circ_m,eccentricity_pre_circ,orbit_error_pre_circ_m,status_pre_circ,booster_pitch_program_sorted,upper_pitch_program_sorted,booster_throttle_schedule,upper_throttle_schedule,status
Phase 2 (coarse),2675,5.7990,3.0,89.8,46.8,80.6,82.7,45.3,118.6,44.5,129.6,21.2,4.2,665.6,13.2,0.0,16.0,53.2,258.5,1.0,365.3,4.1,0.94,0.99,0.92,0.72,0.16,0.58,0.88,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1008281426.52,5837656.73,1000000000.00,0.00,0.00,533143.03,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.0,89.8],[46.8,80.6],[82.7,45.3],[118.6,44.5],[129.6,21.2]]","[[16.0,53.2],[258.5,1.0],[365.3,4.1]]","[[0.0,1.0],[12.957,1.0],[12.957,1.0],[64.785,1.0],[64.785,1.0],[116.612,1.0],[116.612,1.0],[129.569,1.0],[1000000000.0,1.0]]","[[0.0,0.938],[103.902,0.938],[103.902,0.992],[387.459,0.992],[387.459,0.922],[585.796,0.922],[585.796,0.722],[665.562,0.722],[666.562,0.0]]",ESCAPE
Phase 2 (coarse),2676,6.3691,2.1,90.0,48.0,80.6,84.3,48.3,119.4,47.8,127.3,23.1,0.0,807.5,12.7,0.0,21.7,51.6,337.8,0.0,659.6,2.6,0.96,0.96,0.89,0.79,0.19,0.55,0.83,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1009406218.66,5843973.30,1000000000.00,0.00,0.00,675621.24,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.1,90.0],[48.0,80.6],[84.3,48.3],[119.4,47.8],[127.3,23.1]]","[[21.7,51.6],[337.8,0.0],[659.6,2.6]]","[[0.0,1.0],[12.725,1.0],[12.725,1.0],[63.625,1.0],[63.625,1.0],[114.525,1.0],[114.525,1.0],[127.25,1.0],[1000000000.0,1.0]]","[[0.0,0.96],[157.322,0.96],[157.322,0.964],[443.277,0.964],[443.277,0.895],[668.329,0.895],[668.329,0.793],[807.454,0.793],[808.454,0.0]]",ESCAPE
Phase 2 (coarse),2679,5.6791,2.9,89.3,47.0,78.4,83.9,44.1,117.6,48.2,124.9,25.8,0.2,654.4,12.9,0.0,15.9,55.9,315.1,2.7,375.8,4.9,1.00,0.98,0.95,0.72,0.22,0.57,0.84,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1001566159.43,5802846.24,1000000000.00,0.00,0.00,705813.64,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.9,89.3],[47.0,78.4],[83.9,44.1],[117.6,48.2],[124.9,25.8]]","[[15.9,55.9],[315.1,2.7],[375.8,4.9]]","[[0.0,1.0],[12.488,1.0],[12.488,1.0],[62.441,1.0],[62.441,1.0],[112.394,1.0],[112.394,1.0],[124.883,1.0],[1000000000.0,1.0]]","[[0.0,0.999],[143.166,0.999],[143.166,0.98],[370.666,0.98],[370.666,0.954],[549.695,0.954],[549.695,0.721],[654.364,0.721],[655.364,0.0]]",ESCAPE
Phase 2 (coarse),2673,5.9587,6.1,89.8,44.9,77.0,86.5,43.0,119.3,49.9,126.5,25.1,0.1,726.4,15.4,0.0,15.5,42.6,331.7,0.0,354.2,3.6,0.95,0.93,0.90,0.82,0.15,0.54,0.91,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1007545215.89,5828462.47,1000000000.00,0.00,0.00,524171.08,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[6.1,89.8],[44.9,77.0],[86.5,43.0],[119.3,49.9],[126.5,25.1]]","[[15.5,42.6],[331.7,0.0],[354.2,3.6]]","[[0.0,1.0],[12.651,1.0],[12.651,1.0],[63.253,1.0],[63.253,1.0],[113.855,1.0],[113.855,1.0],[126.506,1.0],[1000000000.0,1.0]]","[[0.0,0.947],[107.757,0.947],[107.757,0.934],[394.173,0.934],[394.173,0.896],[661.424,0.896],[661.424,0.815],[726.406,0.815],[727.406,0.0]]",ESCAPE
Phase 2 (coarse),2678,5.5184,3.5,89.9,50.6,81.9,84.7,46.7,115.7,50.0,128.7,23.4,0.3,884.1,21.3,0.0,13.1,63.5,245.3,0.2,486.0,4.7,0.97,0.93,0.87,0.72,0.23,0.53,0.88,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1005917372.85,5773673.91,1000000000.00,0.00,0.00,525048.50,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.5,89.9],[50.6,81.9],[84.7,46.7],[115.7,50.0],[128.7,23.4]]","[[13.1,63.5],[245.3,0.2],[486.0,4.7]]","[[0.0,1.0],[12.868,1.0],[12.868,1.0],[64.342,1.0],[64.342,1.0],[115.816,1.0],[115.816,1.0],[128.685,1.0],[1000000000.0,1.0]]","[[0.0,0.965],[205.303,0.965],[205.303,0.928],[472.403,0.928],[472.403,0.874],[775.467,0.874],[775.467,0.723],[884.069,0.723],[885.069,0.0]]",ESCAPE
Phase 2 (coarse),2674,6.0118,2.2,89.9,50.9,81.2,85.4,45.3,117.5,45.9,124.2,23.0,0.5,547.4,15.1,0.0,8.8,61.5,291.1,0.8,546.3,5.9,0.92,1.00,0.91,0.72,0.19,0.49,0.88,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1000073069.56,5849336.11,1000000000.00,0.00,0.00,650937.44,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.2,89.9],[50.9,81.2],[85.4,45.3],[117.5,45.9],[124.2,23.0]]","[[8.8,61.5],[291.1,0.8],[546.3,5.9]]","[[0.0,1.0],[12.422,1.0],[12.422,1.0],[62.108,1.0],[62.108,1.0],[111.794,1.0],[111.794,1.0],[124.216,1.0],[1000000000.0,1.0]]","[[0.0,0.918],[102.225,0.918],[102.225,1.0],[269.422,1.0],[269.422,0.91],[482.571,0.91],[482.571,0.723],[547.366,0.723],[548.366,0.0]]",ESCAPE
Phase 2 (coarse),2683,5.5053,4.8,89.8,46.4,74.1,85.9,43.0,119.8,44.5,125.8,22.8,0.6,828.3,11.0,0.0,21.6,64.9,248.1,6.8,370.1,4.8,1.00,0.95,0.90,0.72,0.17,0.44,0.89,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1000655362.71,5764574.32,1000000000.00,0.00,0.00,678581.32,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.8,89.8],[46.4,74.1],[85.9,43.0],[119.8,44.5],[125.8,22.8]]","[[21.6,64.9],[248.1,6.8],[370.1,4.8]]","[[0.0,1.0],[12.584,1.0],[12.584,1.0],[62.921,1.0],[62.921,1.0],[113.258,1.0],[113.258,1.0],[125.842,1.0],[1000000000.0,1.0]]","[[0.0,1.0],[142.683,1.0],[142.683,0.955],[367.873,0.955],[367.873,0.899],[735.468,0.899],[735.468,0.723],[828.348,0.723],[829.348,0.0]]",ESCAPE
Phase 2 (coarse),2688,5.5624,3.2,89.6,46.0,80.8,86.4,43.5,120.0,46.0,124.5,23.5,0.4,783.3,19.9,0.0,16.1,61.5,251.2,0.7,516.5,3.0,1.00,0.99,0.92,0.77,0.21,0.55,0.83,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1003691269.57,5787453.22,1000000000.00,0.00,0.00,570583.52,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.2,89.6],[46.0,80.8],[86.4,43.5],[120.0,46.0],[124.5,23.5]]","[[16.1,61.5],[251.2,0.7],[516.5,3.0]]","[[0.0,1.0],[12.451,1.0],[12.451,1.0],[62.255,1.0],[62.255,1.0],[112.06,1.0],[112.06,1.0],[124.511,1.0],[1000000000.0,1.0]]","[[0.0,1.0],[165.126,1.0],[165.126,0.994],[429.027,0.994],[429.027,0.919],[649.891,0.919],[649.891,0.77],[783.345,0.77],[784.345,0.0]]",ESCAPE
Phase 2 (coarse),2681,5.3013,2.7,89.4,53.0,79.6,89.9,43.0,119.6,49.9,126.9,25.9,5.8,920.9,12.6,0.0,10.0,56.6,336.3,5.4,419.2,6.0,0.92,1.00,0.89,0.76,0.17,0.54,0.85,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1008030259.06,5716770.37,1000000000.00,0.00,0.00,691697.01,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.7,89.4],[53.0,79.6],[89.9,43.0],[119.6,49.9],[126.9,25.9]]","[[10.0,56.6],[336.3,5.4],[419.2,6.0]]","[[0.0,1.0],[12.694,1.0],[12.694,1.0],[63.47,1.0],[63.47,1.0],[114.246,1.0],[114.246,1.0],[126.94,1.0],[1000000000.0,1.0]]","[[0.0,0.916],[155.123,0.916],[155.123,0.998],[493.079,0.998],[493.079,0.886],[781.6,0.886],[781.6,0.759],[920.86,0.759],[921.86,0.0]]",ESCAPE
Phase 2 (coarse),2684,5.7300,7.5,89.4,49.4,76.2,84.3,43.7,119.5,45.1,124.9,20.0,0.3,719.8,11.2,0.0,14.9,49.5,204.2,4.9,239.4,3.1,0.99,1.00,0.88,0.78,0.21,0.55,0.85,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1005654174.87,5812487.74,1000000000.00,0.00,0.00,497523.01,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[7.5,89.4],[49.4,76.2],[84.3,43.7],[119.5,45.1],[124.9,20.0]]","[[14.9,49.5],[204.2,4.9],[239.4,3.1]]","[[0.0,1.0],[12.49,1.0],[12.49,1.0],[62.448,1.0],[62.448,1.0],[112.406,1.0],[112.406,1.0],[124.895,1.0],[1000000000.0,1.0]]","[[0.0,0.986],[149.83,0.986],[149.83,0.998],[399.04,0.998],[399.04,0.876],[610.645,0.876],[610.645,0.78],[719.75,0.78],[720.75,0.0]]",ESCAPE
Phase 2 (coarse),2685,5.9277,2.5,89.7,43.6,80.9,88.1,45.2,119.9,47.8,124.5,20.8,6.6,754.6,12.7,0.0,13.4,62.5,341.4,0.6,486.5,5.5,0.99,0.88,0.97,0.73,0.23,0.52,0.89,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1007952448.67,5852310.06,1000000000.00,0.00,0.00,761289.51,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.5,89.7],[43.6,80.9],[88.1,45.2],[119.9,47.8],[124.5,20.8]]","[[13.4,62.5],[341.4,0.6],[486.5,5.5]]","[[0.0,1.0],[12.445,1.0],[12.445,1.0],[62.226,1.0],[62.226,1.0],[112.007,1.0],[112.007,1.0],[124.452,1.0],[1000000000.0,1.0]]","[[0.0,0.986],[172.175,0.986],[172.175,0.881],[392.447,0.881],[392.447,0.968],[674.941,0.968],[674.941,0.725],[754.648,0.725],[755.648,0.0]]",ESCAPE
Phase 2 (coarse),2682,5.7478,2.8,89.4,48.6,76.0,88.3,44.4,119.4,46.9,124.5,21.9,4.9,819.6,16.2,0.0,16.2,57.4,313.1,2.2,490.5,3.0,0.99,0.91,0.91,0.72,0.18,0.46,0.87,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1007475832.21,5825142.80,1000000000.00,0.00,0.00,676148.14,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.8,89.4],[48.6,76.0],[88.3,44.4],[119.4,46.9],[124.5,21.9]]","[[16.2,57.4],[313.1,2.2],[490.5,3.0]]","[[0.0,1.0],[12.446,1.0],[12.446,1.0],[62.228,1.0],[62.228,1.0],[112.011,1.0],[112.011,1.0],[124.457,1.0],[1000000000.0,1.0]]","[[0.0,0.992],[149.704,0.992],[149.704,0.909],[373.669,0.909],[373.669,0.911],[713.333,0.911],[713.333,0.721],[819.599,0.721],[820.599,0.0]]",ESCAPE
Phase 2 (coarse),2687,6.0613,4.4,89.8,46.9,80.5,80.7,45.2,115.8,48.1,125.5,16.4,0.4,922.7,14.0,0.0,10.5,59.6,163.1,0.3,633.3,1.9,0.95,0.92,0.90,0.76,0.22,0.40,0.84,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1049011694.78,5825405.45,1000000000.00,0.00,0.00,380270.76,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.4,89.8],[46.9,80.5],[80.7,45.2],[115.8,48.1],[125.5,16.4]]","[[10.5,59.6],[163.1,0.3],[633.3,1.9]]","[[0.0,1.0],[12.545,1.0],[12.545,1.0],[62.726,1.0],[62.726,1.0],[112.908,1.0],[112.908,1.0],[125.453,1.0],[1000000000.0,1.0]]","[[0.0,0.954],[205.638,0.954],[205.638,0.925],[367.047,0.925],[367.047,0.904],[778.193,0.904],[778.193,0.757],[922.665,0.757],[923.665,0.0]]",ESCAPE
Phase 2 (coarse),2686,5.8959,3.2,90.0,47.6,81.7,88.6,45.3,119.9,49.8,124.3,20.3,0.8,907.0,16.6,0.0,19.4,51.6,341.9,2.1,428.7,3.6,0.90,0.91,0.92,0.72,0.17,0.57,0.82,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1001953226.50,5847761.33,1000000000.00,0.00,0.00,647305.08,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.2,90.0],[47.6,81.7],[88.6,45.3],[119.9,49.8],[124.3,20.3]]","[[19.4,51.6],[341.9,2.1],[428.7,3.6]]","[[0.0,1.0],[12.428,1.0],[12.428,1.0],[62.139,1.0],[62.139,1.0],[111.851,1.0],[111.851,1.0],[124.278,1.0],[1000000000.0,1.0]]","[[0.0,0.904],[152.629,0.904],[152.629,0.914],[520.17,0.914],[520.17,0.915],[741.14,0.915],[741.14,0.723],[907.043,0.723],[908.043,0.0]]",ESCAPE
