phase,iteration,meco_mach,pitch_time_0,pitch_angle_0,pitch_time_1,pitch_angle_1,pitch_time_2,pitch_angle_2,pitch_time_3,pitch_angle_3,pitch_time_4,pitch_angle_4,coast_s,upper_burn_s,upper_ignition_delay_s,azimuth_deg,upper_pitch_time_0,upper_pitch_angle_0,upper_pitch_time_1,upper_pitch_angle_1,upper_pitch_time_2,upper_pitch_angle_2,upper_pitch_time_3,upper_pitch_angle_3,upper_throttle_level_0,upper_throttle_level_1,upper_throttle_level_2,upper_throttle_level_3,upper_throttle_switch_ratio_0,upper_throttle_switch_ratio_1,upper_throttle_switch_ratio_2,booster_throttle_level_0,booster_throttle_level_1,booster_throttle_level_2,booster_throttle_level_3,booster_throttle_switch_ratio_0,booster_throttle_switch_ratio_1,booster_throttle_switch_ratio_2,cost,fuel,orbit_error,perigee_error_m,apoapsis_error_m,max_altitude_m,eval_t_sim_s,eval_altitude_m,eval_speed_mps,eval_vr_mps,eval_fpa_deg,cutoff_reason,perigee_alt_m,apoapsis_alt_m,eccentricity,fuel_main_kg,fuel_circ_kg,fuel_total_kg,circ_dv_mps,circ_applied,perigee_alt_pre_circ_m,apoapsis_alt_pre_circ_m,eccentricity_pre_circ,orbit_error_pre_circ_m,status_pre_circ,booster_pitch_program_sorted,upper_pitch_program_sorted,booster_throttle_schedule,upper_throttle_schedule,status
Phase 1,9,5.6053,0.0,89.2,47.6,84.2,89.9,43.7,119.8,36.5,136.5,30.0,5.5,419.6,4.0,0.0,2.5,47.9,229.9,13.8,362.3,3.4,250.8,0.4,0.84,0.87,0.90,0.85,0.11,0.37,0.89,1.00,1.00,1.00,1.00,0.10,0.50,0.90,4626056.23,5663652.75,4618461.30,7594.92,4618461.30,640948.40,508.000,489007.01,8508.261,569.650,3.839,,412405.08,5038461.30,0.254279,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.0,89.2],[47.6,84.2],[89.9,43.7],[119.8,36.5],[136.5,30.0]]","[[2.5,47.9],[229.9,13.8],[250.8,0.4],[362.3,3.4]]","[[0.0,1.0],[13.651,1.0],[13.651,1.0],[68.257,1.0],[68.257,1.0],[122.862,1.0],[122.862,1.0],[136.514,1.0],[1000000000.0,1.0]]","[[0.0,0.839],[44.54,0.839],[44.54,0.868],[153.585,0.868],[153.585,0.903],[374.527,0.903],[374.527,0.846],[419.567,0.846],[420.567,0.0]]",OK
Phase 1,11,5.5636,4.4,88.5,32.5,74.9,89.9,51.3,115.6,38.8,146.4,20.2,1.6,307.2,0.0,0.0,5.9,46.8,207.2,4.6,463.6,0.2,392.8,0.1,0.98,0.88,0.97,0.98,0.08,0.48,0.89,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1046318246.33,5166289.75,4479085.39,4479085.39,48307.03,371705.62,386.000,361739.16,5510.259,292.350,3.041,,-4059085.39,371692.97,0.489340,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.4,88.5],[32.5,74.9],[89.9,51.3],[115.6,38.8],[146.4,20.2]]","[[5.9,46.8],[207.2,4.6],[392.8,0.1],[463.6,0.2]]","[[0.0,1.0],[14.644,1.0],[14.644,1.0],[73.222,1.0],[73.222,1.0],[131.799,1.0],[131.799,1.0],[146.444,1.0],[1000000000.0,1.0]]","[[0.0,0.981],[24.757,0.981],[24.757,0.879],[147.119,0.879],[147.119,0.973],[274.488,0.973],[274.488,0.982],[307.249,0.982],[308.249,0.0]]",SUBORBIT
Phase 1,14,6.0282,1.1,87.6,45.3,73.8,78.6,58.4,110.0,39.8,140.4,20.2,0.8,99.2,1.2,0.0,2.4,71.8,276.1,0.7,155.0,1.9,301.8,0.0,1.00,0.99,1.00,0.97,0.10,0.43,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1069998094.47,4025669.88,6634097.29,6634097.29,23024.31,397086.66,181.000,231589.53,2370.518,1677.829,45.055,,-6214097.29,396975.69,0.954684,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[1.1,87.6],[45.3,73.8],[78.6,58.4],[110.0,39.8],[140.4,20.2]]","[[2.4,71.8],[155.0,1.9],[276.1,0.7],[301.8,0.0]]","[[0.0,1.0],[14.04,1.0],[14.04,1.0],[70.202,1.0],[70.202,1.0],[126.364,1.0],[126.364,1.0],[140.404,1.0],[1000000000.0,1.0]]","[[0.0,1.0],[9.85,1.0],[9.85,0.987],[42.655,0.987],[42.655,1.0],[93.159,1.0],[93.159,0.973],[99.163,0.973],[100.163,0.0]]",SUBORBIT
Phase 1,10,6.1205,2.2,90.0,44.5,71.2,78.8,51.3,109.8,39.1,139.7,30.0,15.7,749.0,9.4,0.0,0.3,35.8,75.3,0.0,195.8,0.1,296.2,2.5,0.97,0.96,0.82,0.92,0.07,0.63,0.84,1.00,1.00,1.00,1.00,0.10,0.50,0.90,2507495567.68,5876628.09,1000000000.00,0.00,0.00,318608.70,594.000,124058.36,13378.482,429.681,1.841,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.2,90.0],[44.5,71.2],[78.8,51.3],[109.8,39.1],[139.7,30.0]]","[[0.3,35.8],[75.3,0.0],[195.8,0.1],[296.2,2.5]]","[[0.0,1.0],[13.972,1.0],[13.972,1.0],[69.858,1.0],[69.858,1.0],[125.745,1.0],[125.745,1.0],[139.716,1.0],[1000000000.0,1.0]]","[[0.0,0.968],[50.354,0.968],[50.354,0.955],[475.382,0.955],[475.382,0.819],[628.919,0.819],[628.919,0.924],[749.002,0.924],[750.002,0.0]]",ESCAPE
Phase 1,15,6.0694,3.6,88.4,43.0,68.7,81.1,53.0,117.1,38.1,149.6,29.3,11.7,918.6,4.9,0.0,0.0,57.4,135.2,1.0,150.1,0.9,671.2,2.4,1.00,0.99,0.74,0.85,0.18,0.46,0.88,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1107333293.85,5798302.43,1000000000.00,0.00,0.00,331359.19,519.000,331359.19,10940.339,327.048,1.713,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.6,88.4],[43.0,68.7],[81.1,53.0],[117.1,38.1],[149.6,29.3]]","[[0.0,57.4],[135.2,1.0],[150.1,0.9],[671.2,2.4]]","[[0.0,1.0],[14.96,1.0],[14.96,1.0],[74.799,1.0],[74.799,1.0],[134.638,1.0],[134.638,1.0],[149.598,1.0],[1000000000.0,1.0]]","[[0.0,0.997],[166.135,0.997],[166.135,0.991],[425.076,0.991],[425.076,0.742],[810.747,0.742],[810.747,0.847],[918.65,0.847],[919.65,0.0]]",ESCAPE
Phase 1,16,5.6296,1.3,89.2,33.7,70.5,64.9,57.3,111.6,48.4,129.3,22.3,1.4,520.5,14.5,0.0,0.0,29.1,93.3,0.5,486.5,0.9,306.0,1.3,0.95,0.87,0.85,0.98,0.17,0.31,0.79,1.00,1.00,1.00,1.00,0.10,0.50,0.90,2556396773.64,5845441.78,1000000000.00,0.00,0.00,318961.83,614.000,75691.35,13486.097,430.328,1.829,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[1.3,89.2],[33.7,70.5],[64.9,57.3],[111.6,48.4],[129.3,22.3]]","[[0.0,29.1],[93.3,0.5],[306.0,1.3],[486.5,0.9]]","[[0.0,1.0],[12.927,1.0],[12.927,1.0],[64.635,1.0],[64.635,1.0],[116.342,1.0],[116.342,1.0],[129.269,1.0],[1000000000.0,1.0]]","[[0.0,0.952],[88.103,0.952],[88.103,0.872],[162.98,0.872],[162.98,0.855],[411.552,0.855],[411.552,0.976],[520.46,0.976],[521.46,0.0]]",ESCAPE
Phase 1,19,6.1629,0.2,90.0,43.5,84.9,75.9,42.9,115.1,37.9,147.5,25.0,4.4,91.3,15.3,0.0,18.9,31.9,384.4,0.0,201.9,5.0,444.0,0.7,0.96,0.99,0.90,0.80,0.06,0.47,0.90,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1069722588.15,3930263.92,6597814.72,6597814.72,146626.21,273419.44,190.000,206558.21,2146.784,1072.177,29.963,,-6177814.72,273373.79,0.943493,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.2,90.0],[43.5,84.9],[75.9,42.9],[115.1,37.9],[147.5,25.0]]","[[18.9,31.9],[201.9,5.0],[384.4,0.0],[444.0,0.7]]","[[0.0,1.0],[14.75,1.0],[14.75,1.0],[73.751,1.0],[73.751,1.0],[132.753,1.0],[132.753,1.0],[147.503,1.0],[1000000000.0,1.0]]","[[0.0,0.96],[5.671,0.96],[5.671,0.994],[42.707,0.994],[42.707,0.899],[82.052,0.899],[82.052,0.802],[91.254,0.802],[92.254,0.0]]",SUBORBIT
Phase 1,23,5.6072,2.6,89.9,44.7,73.1,75.7,52.1,116.2,40.1,131.8,17.7,0.0,167.5,13.1,0.0,24.3,52.0,160.0,6.5,200.9,1.0,279.0,5.5,0.79,0.86,0.87,1.00,0.23,0.37,0.95,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1067633205.73,4272133.26,6412168.23,6412168.23,99355.17,320673.01,259.000,280882.32,2663.691,797.244,17.416,,-5992168.23,320644.83,0.892841,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.6,89.9],[44.7,73.1],[75.7,52.1],[116.2,40.1],[131.8,17.7]]","[[24.3,52.0],[160.0,6.5],[200.9,1.0],[279.0,5.5]]","[[0.0,1.0],[13.182,1.0],[13.182,1.0],[65.912,1.0],[65.912,1.0],[118.641,1.0],[118.641,1.0],[131.824,1.0],[1000000000.0,1.0]]","[[0.0,0.789],[38.539,0.789],[38.539,0.863],[62.086,0.863],[62.086,0.866],[159.086,0.866],[159.086,0.997],[167.461,0.997],[168.461,0.0]]",SUBORBIT
Phase 1,24,6.0338,1.5,90.0,40.2,78.1,77.8,46.3,107.2,37.8,149.8,20.3,0.1,607.7,22.9,0.0,3.5,69.4,191.4,4.3,329.4,1.6,225.9,3.4,0.85,0.89,0.98,0.98,0.16,0.56,0.89,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1033676416.85,5809549.18,1000000000.00,0.00,0.00,395282.21,570.000,395282.21,10870.969,424.402,2.237,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[1.5,90.0],[40.2,78.1],[77.8,46.3],[107.2,37.8],[149.8,20.3]]","[[3.5,69.4],[191.4,4.3],[225.9,3.4],[329.4,1.6]]","[[0.0,1.0],[14.984,1.0],[14.984,1.0],[74.919,1.0],[74.919,1.0],[134.853,1.0],[134.853,1.0],[149.837,1.0],[1000000000.0,1.0]]","[[0.0,0.855],[97.639,0.855],[97.639,0.893],[339.204,0.893],[339.204,0.975],[543.761,0.975],[543.761,0.977],[607.723,0.977],[608.723,0.0]]",ESCAPE
Phase 1,21,5.6110,3.0,88.7,34.9,75.5,85.2,50.3,119.7,49.1,146.5,28.2,3.0,831.8,0.0,0.0,1.7,59.5,458.9,4.1,456.9,3.8,513.1,3.2,1.00,0.94,0.71,0.85,0.10,0.45,0.88,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1012422617.54,5796265.63,1000000000.00,0.00,0.00,953554.84,530.000,953554.84,10456.405,3381.840,18.870,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.0,88.7],[34.9,75.5],[85.2,50.3],[119.7,49.1],[146.5,28.2]]","[[1.7,59.5],[456.9,3.8],[458.9,4.1],[513.1,3.2]]","[[0.0,1.0],[14.646,1.0],[14.646,1.0],[73.229,1.0],[73.229,1.0],[131.811,1.0],[131.811,1.0],[146.457,1.0],[1000000000.0,1.0]]","[[0.0,0.999],[86.459,0.999],[86.459,0.937],[372.682,0.937],[372.682,0.712],[732.064,0.712],[732.064,0.848],[831.807,0.848],[832.807,0.0]]",ESCAPE
