phase,iteration,meco_mach,pitch_time_0,pitch_angle_0,pitch_time_1,pitch_angle_1,pitch_time_2,pitch_angle_2,pitch_time_3,pitch_angle_3,pitch_time_4,pitch_angle_4,coast_s,upper_burn_s,upper_ignition_delay_s,azimuth_deg,upper_pitch_time_0,upper_pitch_angle_0,upper_pitch_time_1,upper_pitch_angle_1,upper_pitch_time_2,upper_pitch_angle_2,upper_pitch_time_3,upper_pitch_angle_3,upper_throttle_level_0,upper_throttle_level_1,upper_throttle_level_2,upper_throttle_level_3,upper_throttle_switch_ratio_0,upper_throttle_switch_ratio_1,upper_throttle_switch_ratio_2,booster_throttle_level_0,booster_throttle_level_1,booster_throttle_level_2,booster_throttle_level_3,booster_throttle_switch_ratio_0,booster_throttle_switch_ratio_1,booster_throttle_switch_ratio_2,cost,fuel,orbit_error,perigee_error_m,apoapsis_error_m,max_altitude_m,eval_t_sim_s,eval_altitude_m,eval_speed_mps,eval_vr_mps,eval_fpa_deg,cutoff_reason,perigee_alt_m,apoapsis_alt_m,eccentricity,fuel_main_kg,fuel_circ_kg,fuel_total_kg,circ_dv_mps,circ_applied,perigee_alt_pre_circ_m,apoapsis_alt_pre_circ_m,eccentricity_pre_circ,orbit_error_pre_circ_m,status_pre_circ,booster_pitch_program_sorted,upper_pitch_program_sorted,booster_throttle_schedule,upper_throttle_schedule,status
Phase 1,278,4.9184,9.4,89.3,37.0,69.9,77.0,46.7,112.6,48.3,137.9,25.7,9.6,503.4,23.6,0.0,3.3,68.1,253.7,0.1,505.2,14.5,202.5,4.1,0.98,0.95,0.92,1.00,0.25,0.26,0.89,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1090992421.41,5505454.18,1000000000.00,0.00,0.00,348061.99,559.000,348061.99,10927.480,375.885,1.971,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[9.4,89.3],[37.0,69.9],[77.0,46.7],[112.6,48.3],[137.9,25.7]]","[[3.3,68.1],[202.5,4.1],[253.7,0.1],[505.2,14.5]]","[[0.0,1.0],[13.792,1.0],[13.792,1.0],[68.962,1.0],[68.962,1.0],[124.131,1.0],[124.131,1.0],[137.923,1.0],[1000000000.0,1.0]]","[[0.0,0.981],[125.824,0.981],[125.824,0.95],[133.062,0.95],[133.062,0.924],[446.842,0.924],[446.842,1.0],[503.398,1.0],[504.398,0.0]]",ESCAPE
Phase 1,273,5.9722,0.0,84.0,37.2,77.7,82.5,54.1,99.9,41.2,141.7,30.0,12.1,471.7,7.9,0.0,10.4,44.2,339.5,0.0,915.1,8.0,717.0,0.6,0.86,0.98,0.96,0.80,0.21,0.26,0.64,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1018908199.50,5808966.30,1000000000.00,0.00,0.00,508455.76,559.000,508455.76,10799.894,850.606,4.517,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.0,84.0],[37.2,77.7],[82.5,54.1],[99.9,41.2],[141.7,30.0]]","[[10.4,44.2],[339.5,0.0],[717.0,0.6],[915.1,8.0]]","[[0.0,1.0],[14.166,1.0],[14.166,1.0],[70.828,1.0],[70.828,1.0],[127.491,1.0],[127.491,1.0],[141.657,1.0],[1000000000.0,1.0]]","[[0.0,0.859],[98.119,0.859],[98.119,0.984],[124.596,0.984],[124.596,0.955],[302.889,0.955],[302.889,0.803],[471.737,0.803],[472.737,0.0]]",ESCAPE
Phase 1,274,4.8992,0.2,87.0,47.1,72.6,78.4,52.8,110.7,40.5,149.2,27.3,12.3,250.6,26.3,0.0,0.0,58.6,251.7,15.7,1077.8,8.0,253.5,0.8,0.90,0.86,0.97,1.00,0.23,0.27,0.79,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1062238389.75,4597838.75,5925072.53,5925072.53,62591.95,357441.04,361.000,315915.16,3774.247,753.006,11.508,,-5505072.53,357408.05,0.771954,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.2,87.0],[47.1,72.6],[78.4,52.8],[110.7,40.5],[149.2,27.3]]","[[0.0,58.6],[251.7,15.7],[253.5,0.8],[1077.8,8.0]]","[[0.0,1.0],[14.925,1.0],[14.925,1.0],[74.623,1.0],[74.623,1.0],[134.322,1.0],[134.322,1.0],[149.247,1.0],[1000000000.0,1.0]]","[[0.0,0.9],[57.526,0.9],[57.526,0.856],[67.996,0.856],[67.996,0.972],[197.086,0.972],[197.086,1.0],[250.605,1.0],[251.605,0.0]]",SUBORBIT
Phase 1,280,4.6346,3.1,84.6,41.5,78.4,69.0,60.2,120.0,47.5,141.8,29.5,12.0,669.9,15.9,0.0,0.0,62.2,341.9,10.7,973.5,14.4,400.3,0.0,0.98,0.86,0.99,0.71,0.16,0.25,0.78,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1018164808.16,5383734.79,1000000000.00,0.00,0.00,648089.28,554.000,648089.28,10691.244,2443.713,13.213,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.1,84.6],[41.5,78.4],[69.0,60.2],[120.0,47.5],[141.8,29.5]]","[[0.0,62.2],[341.9,10.7],[400.3,0.0],[973.5,14.4]]","[[0.0,1.0],[14.179,1.0],[14.179,1.0],[70.895,1.0],[70.895,1.0],[127.612,1.0],[127.612,1.0],[141.791,1.0],[1000000000.0,1.0]]","[[0.0,0.977],[104.713,0.977],[104.713,0.864],[169.242,0.864],[169.242,0.994],[519.725,0.994],[519.725,0.709],[669.893,0.709],[670.893,0.0]]",ESCAPE
Phase 1,275,5.3346,13.6,89.9,42.5,82.8,76.7,61.1,115.3,37.2,149.6,30.0,8.7,610.7,21.3,0.0,14.0,39.1,210.3,2.2,876.0,10.0,216.7,4.4,0.96,0.78,0.97,0.83,0.14,0.28,0.80,1.00,1.00,1.00,1.00,0.10,0.50,0.90,2181018549.38,5777492.58,1000000000.00,0.00,0.00,319676.39,610.000,297087.70,12758.622,806.169,3.623,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[13.6,89.9],[42.5,82.8],[76.7,61.1],[115.3,37.2],[149.6,30.0]]","[[14.0,39.1],[210.3,2.2],[216.7,4.4],[876.0,10.0]]","[[0.0,1.0],[14.964,1.0],[14.964,1.0],[74.818,1.0],[74.818,1.0],[134.672,1.0],[134.672,1.0],[149.636,1.0],[1000000000.0,1.0]]","[[0.0,0.964],[85.946,0.964],[85.946,0.783],[170.703,0.783],[170.703,0.973],[488.239,0.973],[488.239,0.833],[610.699,0.833],[611.699,0.0]]",ESCAPE
Phase 1,276,5.5181,2.6,89.7,33.0,82.6,76.2,54.1,95.1,47.1,143.8,22.5,26.1,345.0,5.0,0.0,2.2,52.0,364.0,10.6,675.7,11.8,324.4,3.8,0.91,0.74,1.00,0.94,0.20,0.29,0.83,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1034012380.57,5416203.65,3318117.14,3318117.14,513092.01,762944.32,454.000,508735.36,6473.336,1503.162,13.427,,-2898117.14,933092.01,0.355499,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.6,89.7],[33.0,82.6],[76.2,54.1],[95.1,47.1],[143.8,22.5]]","[[2.2,52.0],[324.4,3.8],[364.0,10.6],[675.7,11.8]]","[[0.0,1.0],[14.375,1.0],[14.375,1.0],[71.875,1.0],[71.875,1.0],[129.375,1.0],[129.376,1.0],[143.751,1.0],[1000000000.0,1.0]]","[[0.0,0.911],[70.484,0.911],[70.484,0.738],[101.45,0.738],[101.45,0.998],[287.226,0.998],[287.226,0.939],[345.044,0.939],[346.044,0.0]]",SUBORBIT
Phase 1,277,5.5627,6.2,88.1,43.3,74.0,77.1,54.7,117.0,41.6,148.2,25.6,14.4,444.9,18.7,0.0,0.6,59.0,481.6,5.8,864.8,12.6,277.0,1.2,0.97,0.80,0.81,0.85,0.17,0.46,0.84,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1009871777.99,5643186.81,5864048.60,637066.31,5864048.60,1150512.47,556.000,684978.34,8402.278,2073.557,14.287,,-217066.31,6284048.60,0.345639,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[6.2,88.1],[43.3,74.0],[77.1,54.7],[117.0,41.6],[148.2,25.6]]","[[0.6,59.0],[277.0,1.2],[481.6,5.8],[864.8,12.6]]","[[0.0,1.0],[14.816,1.0],[14.816,1.0],[74.079,1.0],[74.079,1.0],[133.342,1.0],[133.342,1.0],[148.158,1.0],[1000000000.0,1.0]]","[[0.0,0.967],[75.18,0.967],[75.18,0.797],[205.284,0.797],[205.284,0.812],[371.729,0.812],[371.729,0.848],[444.916,0.848],[445.916,0.0]]",SUBORBIT
Phase 1,282,4.5022,1.5,80.1,37.9,76.0,74.7,59.0,101.0,45.2,142.9,27.0,15.2,262.3,12.9,0.0,10.5,43.2,408.9,4.4,1142.7,14.7,562.0,2.1,0.98,0.76,0.90,0.73,0.15,0.29,0.90,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1063047840.80,4297652.48,5987457.47,5987457.47,185808.60,234196.09,357.000,228256.48,3633.011,291.526,4.603,,-5567457.47,234191.40,0.783082,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[1.5,80.1],[37.9,76.0],[74.7,59.0],[101.0,45.2],[142.9,27.0]]","[[10.5,43.2],[408.9,4.4],[562.0,2.1],[1142.7,14.7]]","[[0.0,1.0],[14.292,1.0],[14.292,1.0],[71.462,1.0],[71.462,1.0],[128.631,1.0],[128.631,1.0],[142.924,1.0],[1000000000.0,1.0]]","[[0.0,0.985],[39.344,0.985],[39.344,0.755],[75.065,0.755],[75.065,0.903],[236.075,0.903],[236.075,0.734],[262.256,0.734],[263.256,0.0]]",SUBORBIT
Phase 1,284,5.4439,4.1,87.4,39.7,78.5,73.8,57.4,105.5,37.9,141.3,27.9,12.7,704.9,20.3,0.0,13.6,57.2,411.6,4.1,1156.1,6.4,500.8,1.2,0.91,0.80,1.00,0.73,0.21,0.32,0.91,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1020713179.18,5763996.72,1000000000.00,0.00,0.00,729337.90,578.000,729337.90,10635.083,2156.551,11.699,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.1,87.4],[39.7,78.5],[73.8,57.4],[105.5,37.9],[141.3,27.9]]","[[13.6,57.2],[411.6,4.1],[500.8,1.2],[1156.1,6.4]]","[[0.0,1.0],[14.129,1.0],[14.129,1.0],[70.647,1.0],[70.647,1.0],[127.165,1.0],[127.165,1.0],[141.294,1.0],[1000000000.0,1.0]]","[[0.0,0.907],[146.252,0.907],[146.252,0.795],[222.981,0.795],[222.981,0.999],[644.189,0.999],[644.189,0.726],[704.899,0.726],[705.899,0.0]]",ESCAPE
Phase 1,285,5.0530,4.8,85.3,34.7,77.1,89.9,52.2,116.8,47.2,148.4,30.0,20.0,267.3,16.9,0.0,3.3,59.1,296.5,7.8,1160.1,12.6,663.4,0.6,1.00,0.85,0.84,0.97,0.20,0.38,0.80,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1061882675.02,4687816.66,5895089.52,5895089.52,36690.33,383337.30,378.000,349281.79,3797.347,676.241,10.258,,-5475089.52,383309.67,0.765782,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.8,85.3],[34.7,77.1],[89.9,52.2],[116.8,47.2],[148.4,30.0]]","[[3.3,59.1],[296.5,7.8],[663.4,0.6],[1160.1,12.6]]","[[0.0,1.0],[14.838,1.0],[14.838,1.0],[74.191,1.0],[74.191,1.0],[133.545,1.0],[133.545,1.0],[148.383,1.0],[1000000000.0,1.0]]","[[0.0,1.0],[54.468,1.0],[54.468,0.855],[100.323,0.855],[100.323,0.835],[213.436,0.835],[213.436,0.968],[267.324,0.968],[268.324,0.0]]",SUBORBIT
Phase 1,286,4.9266,2.1,87.1,38.7,79.3,84.9,58.2,105.5,49.9,145.5,20.9,7.1,423.2,6.4,0.0,11.7,68.7,389.0,16.8,826.7,14.0,747.6,2.2,0.97,0.70,0.98,0.86,0.12,0.25,0.67,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1018669897.14,5458371.74,6532346.20,1376140.99,6532346.20,1428962.00,509.000,779005.48,8303.758,2985.669,21.073,,-956140.99,6952346.20,0.422051,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.1,87.1],[38.7,79.3],[84.9,58.2],[105.5,49.9],[145.5,20.9]]","[[11.7,68.7],[389.0,16.8],[747.6,2.2],[826.7,14.0]]","[[0.0,1.0],[14.553,1.0],[14.553,1.0],[72.765,1.0],[72.765,1.0],[130.977,1.0],[130.977,1.0],[145.53,1.0],[1000000000.0,1.0]]","[[0.0,0.966],[51.408,0.966],[51.408,0.698],[106.004,0.698],[106.004,0.979],[285.325,0.979],[285.325,0.857],[423.204,0.857],[424.204,0.0]]",SUBORBIT
Phase 1,283,5.5019,0.1,85.0,37.9,70.8,76.0,69.8,108.7,44.0,145.0,18.0,17.4,440.6,18.1,0.0,8.9,53.3,310.1,4.4,438.9,13.5,1301.7,0.0,0.98,0.86,0.91,0.94,0.18,0.41,0.95,1.00,1.00,1.00,1.00,0.10,0.50,0.90,28368323.96,5697512.78,28356414.31,11909.64,28356414.31,848057.73,554.000,522985.02,9830.245,1014.336,5.923,,431909.64,28776414.31,0.675668,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.1,85.0],[37.9,70.8],[76.0,69.8],[108.7,44.0],[145.0,18.0]]","[[8.9,53.3],[310.1,4.4],[438.9,13.5],[1301.7,0.0]]","[[0.0,1.0],[14.499,1.0],[14.499,1.0],[72.497,1.0],[72.497,1.0],[130.495,1.0],[130.495,1.0],[144.994,1.0],[1000000000.0,1.0]]","[[0.0,0.978],[80.555,0.978],[80.555,0.855],[181.794,0.855],[181.794,0.913],[417.92,0.913],[417.92,0.936],[440.59,0.936],[441.59,0.0]]",OK
Phase 1,281,4.6117,4.3,84.2,37.2,71.9,65.9,58.3,105.8,50.0,149.2,29.4,13.0,455.7,24.8,0.0,13.4,48.5,407.9,1.9,936.9,14.9,271.9,1.7,1.00,0.72,0.79,0.85,0.21,0.37,0.79,1.00,1.00,1.00,1.00,0.10,0.50,0.90,8436757.62,5220126.06,8281656.14,155101.48,8281656.14,413155.44,561.000,273557.36,9124.425,246.375,1.547,,264898.52,8701656.14,0.388637,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.3,84.2],[37.2,71.9],[65.9,58.3],[105.8,50.0],[149.2,29.4]]","[[13.4,48.5],[271.9,1.7],[407.9,1.9],[936.9,14.9]]","[[0.0,1.0],[14.917,1.0],[14.917,1.0],[74.586,1.0],[74.586,1.0],[134.255,1.0],[134.255,1.0],[149.172,1.0],[1000000000.0,1.0]]","[[0.0,1.0],[95.807,1.0],[95.807,0.721],[168.914,0.721],[168.914,0.793],[358.183,0.793],[358.183,0.851],[455.696,0.851],[456.696,0.0]]",OK
Phase 1,288,4.7581,3.6,87.6,35.5,69.4,89.9,54.9,118.4,34.7,148.1,24.5,9.0,726.2,20.7,0.0,7.3,74.6,331.2,10.0,766.1,14.0,398.1,1.0,1.00,0.88,1.00,0.90,0.17,0.38,0.76,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1005850217.85,5427916.21,1000000000.00,0.00,0.00,706923.99,565.000,706923.99,10623.843,2458.894,13.382,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.6,87.6],[35.5,69.4],[89.9,54.9],[118.4,34.7],[148.1,24.5]]","[[7.3,74.6],[331.2,10.0],[398.1,1.0],[766.1,14.0]]","[[0.0,1.0],[14.813,1.0],[14.813,1.0],[74.064,1.0],[74.064,1.0],[133.316,1.0],[133.316,1.0],[148.129,1.0],[1000000000.0,1.0]]","[[0.0,0.998],[123.471,0.998],[123.471,0.877],[275.242,0.877],[275.242,1.0],[552.056,1.0],[552.056,0.901],[726.24,0.901],[727.24,0.0]]",ESCAPE
Phase 1,287,4.5879,0.2,89.8,38.4,78.8,62.8,62.8,118.5,38.0,144.6,28.1,20.5,558.2,19.7,0.0,11.2,43.2,200.0,9.7,632.3,14.5,214.5,2.9,0.96,0.72,0.81,0.99,0.27,0.26,0.85,1.00,1.00,1.00,1.00,0.10,0.50,0.90,2033884993.88,5426533.43,1000000000.00,0.00,0.00,319522.44,633.000,259943.73,12552.316,1571.354,7.191,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.2,89.8],[38.4,78.8],[62.8,62.8],[118.5,38.0],[144.6,28.1]]","[[11.2,43.2],[200.0,9.7],[214.5,2.9],[632.3,14.5]]","[[0.0,1.0],[14.456,1.0],[14.456,1.0],[72.278,1.0],[72.278,1.0],[130.1,1.0],[130.1,1.0],[144.556,1.0],[1000000000.0,1.0]]","[[0.0,0.956],[143.135,0.956],[143.135,0.72],[151.072,0.72],[151.072,0.813],[471.816,0.813],[471.816,0.992],[558.239,0.992],[559.239,0.0]]",ESCAPE
Phase 1,289,4.9947,4.3,84.0,28.2,69.4,70.5,58.4,119.6,41.4,148.9,22.5,12.2,695.3,42.2,0.0,26.6,54.2,492.8,21.6,661.0,9.9,703.6,0.0,0.88,0.75,0.96,0.92,0.20,0.29,0.78,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1016476159.27,5501660.59,1000000000.00,0.00,0.00,760696.49,608.000,760696.49,10603.859,4143.270,23.000,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.3,84.0],[28.2,69.4],[70.5,58.4],[119.6,41.4],[148.9,22.5]]","[[26.6,54.2],[492.8,21.6],[661.0,9.9],[703.6,0.0]]","[[0.0,1.0],[14.893,1.0],[14.893,1.0],[74.464,1.0],[74.464,1.0],[134.036,1.0],[134.036,1.0],[148.929,1.0],[1000000000.0,1.0]]","[[0.0,0.881],[141.752,0.881],[141.752,0.75],[201.901,0.75],[201.901,0.958],[542.891,0.958],[542.891,0.915],[695.313,0.915],[696.313,0.0]]",ESCAPE
Phase 1,295,4.5496,2.6,85.7,42.9,75.1,66.0,51.0,109.2,49.9,144.9,22.5,19.7,253.2,28.4,0.0,27.2,63.8,384.3,4.1,480.8,14.6,308.6,0.1,1.00,0.77,0.92,0.87,0.12,0.27,0.72,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1065514654.88,4327894.86,6218022.57,6218022.57,116406.64,303616.75,369.000,272515.39,3162.475,685.693,12.522,,-5798022.57,303593.36,0.841884,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.6,85.7],[42.9,75.1],[66.0,51.0],[109.2,49.9],[144.9,22.5]]","[[27.2,63.8],[308.6,0.1],[384.3,4.1],[480.8,14.6]]","[[0.0,1.0],[14.492,1.0],[14.492,1.0],[72.458,1.0],[72.458,1.0],[130.424,1.0],[130.424,1.0],[144.916,1.0],[1000000000.0,1.0]]","[[0.0,0.996],[29.418,0.996],[29.418,0.773],[68.189,0.773],[68.189,0.918],[182.597,0.918],[182.597,0.869],[253.195,0.869],[254.195,0.0]]",SUBORBIT
Phase 1,291,5.2403,4.0,88.1,41.8,77.1,80.8,65.7,100.2,49.8,140.3,22.2,20.1,560.8,29.6,0.0,13.5,57.5,348.2,7.5,871.1,8.9,222.4,1.3,0.97,0.72,0.99,0.75,0.23,0.36,0.68,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1002924157.96,5689152.15,1000000000.00,0.00,0.00,631033.96,592.000,631033.96,10675.660,1863.218,10.051,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.0,88.1],[41.8,77.1],[80.8,65.7],[100.2,49.8],[140.3,22.2]]","[[13.5,57.5],[222.4,1.3],[348.2,7.5],[871.1,8.9]]","[[0.0,1.0],[14.029,1.0],[14.029,1.0],[70.144,1.0],[70.144,1.0],[126.259,1.0],[126.259,1.0],[140.288,1.0],[1000000000.0,1.0]]","[[0.0,0.97],[128.259,0.97],[128.259,0.723],[201.994,0.723],[201.994,0.987],[382.438,0.987],[382.438,0.751],[560.758,0.751],[561.758,0.0]]",ESCAPE
Phase 1,290,5.2873,4.7,84.5,31.1,80.1,87.9,58.9,109.2,45.8,142.1,28.4,11.4,598.4,28.8,0.0,3.4,68.5,471.0,9.3,875.8,0.4,549.0,1.5,0.93,0.96,0.95,0.74,0.21,0.31,0.88,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1019390620.22,5696745.65,1000000000.00,0.00,0.00,1004664.69,581.000,1004664.69,10433.644,3989.363,22.480,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.7,84.5],[31.1,80.1],[87.9,58.9],[109.2,45.8],[142.1,28.4]]","[[3.4,68.5],[471.0,9.3],[549.0,1.5],[875.8,0.4]]","[[0.0,1.0],[14.208,1.0],[14.208,1.0],[71.041,1.0],[71.041,1.0],[127.873,1.0],[127.873,1.0],[142.081,1.0],[1000000000.0,1.0]]","[[0.0,0.927],[124.087,0.927],[124.087,0.961],[187.162,0.961],[187.162,0.953],[528.836,0.953],[528.836,0.74],[598.434,0.74],[599.434,0.0]]",ESCAPE
Phase 1,296,4.7107,2.1,84.4,27.0,77.1,80.9,59.3,104.8,44.2,150.0,24.4,2.9,777.4,18.4,0.0,2.0,66.5,218.4,4.5,1158.2,14.9,708.6,1.6,1.00,0.79,0.80,1.00,0.21,0.34,0.82,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1062614345.54,5406735.28,1000000000.00,0.00,0.00,369167.48,569.000,369167.48,10897.128,732.016,3.852,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.1,84.4],[27.0,77.1],[80.9,59.3],[104.8,44.2],[150.0,24.4]]","[[2.0,66.5],[218.4,4.5],[708.6,1.6],[1158.2,14.9]]","[[0.0,1.0],[15.0,1.0],[15.0,1.0],[75.0,1.0],[75.0,1.0],[135.0,1.0],[135.0,1.0],[150.0,1.0],[1000000000.0,1.0]]","[[0.0,0.998],[163.146,0.998],[163.146,0.792],[261.774,0.792],[261.774,0.8],[640.933,0.8],[640.933,0.998],[777.442,0.998],[778.442,0.0]]",ESCAPE
Phase 1,292,5.1738,0.6,87.8,33.3,70.4,74.4,57.7,104.9,38.0,146.3,29.0,0.8,597.2,25.3,0.0,8.9,51.2,437.3,12.8,629.7,15.0,429.4,0.7,0.93,0.41,0.82,0.88,0.21,0.25,0.81,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1018105064.07,5627354.95,1000000000.00,0.00,0.00,682612.71,602.000,682612.71,10665.103,2585.808,14.031,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.6,87.8],[33.3,70.4],[74.4,57.7],[104.9,38.0],[146.3,29.0]]","[[8.9,51.2],[429.4,0.7],[437.3,12.8],[629.7,15.0]]","[[0.0,1.0],[14.633,1.0],[14.633,1.0],[73.167,1.0],[73.167,1.0],[131.7,1.0],[131.7,1.0],[146.333,1.0],[1000000000.0,1.0]]","[[0.0,0.934],[123.131,0.934],[123.131,0.405],[149.3,0.405],[149.3,0.821],[485.489,0.821],[485.489,0.876],[597.155,0.876],[598.155,0.0]]",ESCAPE
Phase 1,293,4.9265,5.3,87.7,35.1,68.5,69.9,54.8,112.8,49.0,147.6,29.7,6.1,572.1,24.4,0.0,0.8,71.1,209.9,3.3,899.2,11.9,539.0,5.3,0.96,0.73,0.93,0.91,0.14,0.32,0.82,1.00,1.00,1.00,1.00,0.10,0.50,0.90,2172292485.54,5552755.53,1000000000.00,0.00,0.00,319718.20,624.000,262356.76,12769.536,895.713,4.022,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[5.3,87.7],[35.1,68.5],[69.9,54.8],[112.8,49.0],[147.6,29.7]]","[[0.8,71.1],[209.9,3.3],[539.0,5.3],[899.2,11.9]]","[[0.0,1.0],[14.761,1.0],[14.761,1.0],[73.805,1.0],[73.805,1.0],[132.849,1.0],[132.849,1.0],[147.61,1.0],[1000000000.0,1.0]]","[[0.0,0.964],[79.942,0.964],[79.942,0.727],[185.627,0.727],[185.627,0.925],[471.268,0.925],[471.268,0.91],[572.118,0.91],[573.118,0.0]]",ESCAPE
Phase 1,294,5.0634,1.4,81.5,44.5,70.1,60.0,64.9,118.6,43.4,149.3,30.0,20.2,364.6,14.5,0.0,16.7,53.7,390.1,5.1,659.2,15.0,514.2,1.9,0.95,0.74,1.00,0.99,0.25,0.34,0.85,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1016173003.84,5338935.92,1652960.91,1652960.91,990433.82,766413.89,473.000,472379.74,7401.818,1451.812,11.311,,-1232960.91,1410433.82,0.204605,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[1.4,81.5],[44.5,70.1],[60.0,64.9],[118.6,43.4],[149.3,30.0]]","[[16.7,53.7],[390.1,5.1],[514.2,1.9],[659.2,15.0]]","[[0.0,1.0],[14.933,1.0],[14.933,1.0],[74.665,1.0],[74.665,1.0],[134.398,1.0],[134.398,1.0],[149.331,1.0],[1000000000.0,1.0]]","[[0.0,0.95],[91.799,0.95],[91.799,0.741],[125.308,0.741],[125.308,1.0],[310.613,1.0],[310.613,0.99],[364.601,0.99],[365.601,0.0]]",SUBORBIT
Phase 1,297,4.8390,7.5,83.2,36.4,79.2,66.7,59.1,105.1,48.8,148.6,26.8,11.8,553.6,31.2,0.0,3.0,49.4,397.3,6.3,723.0,15.0,216.3,1.4,0.98,0.59,0.96,0.76,0.23,0.32,0.82,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1004789578.01,5501621.45,1000000000.00,0.00,0.00,490878.38,583.000,490878.38,10787.484,1631.716,8.700,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[7.5,83.2],[36.4,79.2],[66.7,59.1],[105.1,48.8],[148.6,26.8]]","[[3.0,49.4],[216.3,1.4],[397.3,6.3],[723.0,15.0]]","[[0.0,1.0],[14.862,1.0],[14.862,1.0],[74.309,1.0],[74.309,1.0],[133.757,1.0],[133.757,1.0],[148.619,1.0],[1000000000.0,1.0]]","[[0.0,0.983],[125.433,0.983],[125.433,0.592],[177.04,0.592],[177.04,0.956],[453.53,0.956],[453.53,0.762],[553.643,0.762],[554.643,0.0]]",ESCAPE
Phase 1,298,5.4002,2.2,86.0,49.3,65.0,79.2,66.5,105.7,38.5,148.3,29.9,8.6,601.2,27.3,0.0,7.3,63.4,417.7,13.3,696.3,12.0,466.8,1.2,0.98,0.62,1.00,0.83,0.26,0.25,0.74,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1010331931.08,5720112.36,1000000000.00,0.00,0.00,947740.85,557.000,947740.85,10456.540,3875.857,21.757,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.2,86.0],[49.3,65.0],[79.2,66.5],[105.7,38.5],[148.3,29.9]]","[[7.3,63.4],[417.7,13.3],[466.8,1.2],[696.3,12.0]]","[[0.0,1.0],[14.827,1.0],[14.827,1.0],[74.135,1.0],[74.135,1.0],[133.442,1.0],[133.442,1.0],[148.269,1.0],[1000000000.0,1.0]]","[[0.0,0.978],[152.975,0.978],[152.975,0.624],[158.657,0.624],[158.657,0.996],[445.928,0.996],[445.928,0.833],[601.182,0.833],[602.182,0.0]]",ESCAPE
