phase,iteration,meco_mach,pitch_time_0,pitch_angle_0,pitch_time_1,pitch_angle_1,pitch_time_2,pitch_angle_2,pitch_time_3,pitch_angle_3,pitch_time_4,pitch_angle_4,coast_s,upper_burn_s,upper_ignition_delay_s,azimuth_deg,upper_pitch_time_0,upper_pitch_angle_0,upper_pitch_time_1,upper_pitch_angle_1,upper_pitch_time_2,upper_pitch_angle_2,upper_throttle_level_0,upper_throttle_level_1,upper_throttle_level_2,upper_throttle_level_3,upper_throttle_switch_ratio_0,upper_throttle_switch_ratio_1,upper_throttle_switch_ratio_2,booster_throttle_level_0,booster_throttle_level_1,booster_throttle_level_2,booster_throttle_level_3,booster_throttle_switch_ratio_0,booster_throttle_switch_ratio_1,booster_throttle_switch_ratio_2,cost,fuel,orbit_error,perigee_error_m,apoapsis_error_m,max_altitude_m,cutoff_reason,perigee_alt_m,apoapsis_alt_m,eccentricity,fuel_main_kg,fuel_circ_kg,fuel_total_kg,circ_dv_mps,circ_applied,perigee_alt_pre_circ_m,apoapsis_alt_pre_circ_m,eccentricity_pre_circ,orbit_error_pre_circ_m,status_pre_circ,booster_pitch_program_sorted,upper_pitch_program_sorted,booster_throttle_schedule,upper_throttle_schedule,status
Phase 2 (coarse),41,5.9917,8.0,86.3,47.2,70.9,77.3,64.9,114.0,49.6,132.3,16.5,4.3,916.3,14.4,0.0,0.1,74.6,140.8,1.6,428.3,2.8,0.89,0.97,0.87,0.81,0.05,0.33,0.84,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1028070723.68,5837692.41,1000000000.00,0.00,0.00,400806.40,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[8.0,86.3],[47.2,70.9],[77.3,64.9],[114.0,49.6],[132.3,16.5]]","[[0.1,74.6],[140.8,1.6],[428.3,2.8]]","[[0.0,1.0],[13.229,1.0],[13.229,1.0],[66.145,1.0],[66.145,1.0],[119.061,1.0],[119.061,1.0],[132.29,1.0],[1000000000.0,1.0]]","[[0.0,0.889],[49.399,0.889],[49.399,0.969],[300.691,0.969],[300.691,0.871],[770.81,0.871],[770.81,0.814],[916.269,0.814],[917.269,0.0]]",ESCAPE
Phase 2 (coarse),47,6.2721,6.6,88.6,35.6,77.5,77.1,65.3,115.0,43.9,129.9,21.5,1.3,756.9,10.0,0.0,3.5,68.8,143.1,0.0,490.1,3.4,0.94,0.96,0.99,0.83,0.14,0.30,0.86,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1014945087.86,5839566.80,1000000000.00,0.00,0.00,407597.10,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[6.6,88.6],[35.6,77.5],[77.1,65.3],[115.0,43.9],[129.9,21.5]]","[[3.5,68.8],[143.1,0.0],[490.1,3.4]]","[[0.0,1.0],[12.987,1.0],[12.987,1.0],[64.935,1.0],[64.935,1.0],[116.883,1.0],[116.883,1.0],[129.87,1.0],[1000000000.0,1.0]]","[[0.0,0.942],[108.187,0.942],[108.187,0.959],[230.39,0.959],[230.39,0.988],[649.319,0.988],[649.319,0.826],[756.887,0.826],[757.887,0.0]]",ESCAPE
Phase 2 (coarse),45,6.2295,7.3,88.8,49.1,65.4,67.8,67.0,118.3,39.9,128.8,24.6,4.9,923.5,11.7,0.0,2.3,67.0,288.3,2.0,153.0,0.0,0.95,0.94,1.00,0.92,0.24,0.35,0.84,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1039225777.15,5833028.02,1000000000.00,0.00,0.00,382428.93,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[7.3,88.8],[49.1,65.4],[67.8,67.0],[118.3,39.9],[128.8,24.6]]","[[2.3,67.0],[153.0,0.0],[288.3,2.0]]","[[0.0,1.0],[12.877,1.0],[12.877,1.0],[64.387,1.0],[64.387,1.0],[115.896,1.0],[115.896,1.0],[128.774,1.0],[1000000000.0,1.0]]","[[0.0,0.953],[221.594,0.953],[221.594,0.937],[325.56,0.937],[325.56,0.996],[772.424,0.996],[772.424,0.924],[923.486,0.924],[924.486,0.0]]",ESCAPE
Phase 2 (coarse),46,5.7055,8.0,88.5,41.4,74.7,81.4,63.0,117.5,49.8,124.1,22.5,3.1,654.0,25.3,0.0,3.6,49.4,264.2,1.3,303.6,1.4,0.97,1.00,0.97,0.86,0.23,0.37,0.87,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1008670124.82,5784056.83,1000000000.00,0.00,0.00,505723.44,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[8.0,88.5],[41.4,74.7],[81.4,63.0],[117.5,49.8],[124.1,22.5]]","[[3.6,49.4],[264.2,1.3],[303.6,1.4]]","[[0.0,1.0],[12.407,1.0],[12.407,1.0],[62.036,1.0],[62.036,1.0],[111.664,1.0],[111.664,1.0],[124.071,1.0],[1000000000.0,1.0]]","[[0.0,0.969],[153.18,0.969],[153.18,1.0],[239.002,1.0],[239.002,0.968],[568.174,0.968],[568.174,0.857],[653.976,0.857],[654.976,0.0]]",ESCAPE
Phase 2 (coarse),43,6.2427,5.6,89.0,43.8,73.1,77.2,54.5,115.9,49.8,127.4,26.6,3.0,675.2,0.7,0.0,17.8,72.8,185.6,5.1,158.6,0.2,0.99,0.98,0.89,0.82,0.06,0.33,0.85,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1001866588.50,5840143.50,1000000000.00,0.00,0.00,646485.95,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[5.6,89.0],[43.8,73.1],[77.2,54.5],[115.9,49.8],[127.4,26.6]]","[[17.8,72.8],[158.6,0.2],[185.6,5.1]]","[[0.0,1.0],[12.739,1.0],[12.739,1.0],[63.695,1.0],[63.695,1.0],[114.651,1.0],[114.651,1.0],[127.39,1.0],[1000000000.0,1.0]]","[[0.0,0.988],[39.323,0.988],[39.323,0.983],[223.933,0.983],[223.933,0.886],[570.858,0.886],[570.858,0.821],[675.185,0.821],[676.185,0.0]]",ESCAPE
Phase 2 (coarse),48,6.4984,6.4,87.6,48.9,68.7,73.3,65.2,118.9,45.1,124.1,27.7,1.2,860.0,16.4,0.0,1.8,73.8,116.6,3.1,301.4,2.1,0.93,0.99,0.96,0.96,0.22,0.43,0.88,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1071116020.32,5833716.46,1000000000.00,0.00,0.00,355460.78,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[6.4,87.6],[48.9,68.7],[73.3,65.2],[118.9,45.1],[124.1,27.7]]","[[1.8,73.8],[116.6,3.1],[301.4,2.1]]","[[0.0,1.0],[12.405,1.0],[12.405,1.0],[62.027,1.0],[62.027,1.0],[111.649,1.0],[111.649,1.0],[124.054,1.0],[1000000000.0,1.0]]","[[0.0,0.931],[189.485,0.931],[189.485,0.988],[366.504,0.988],[366.504,0.965],[755.0,0.965],[755.0,0.958],[859.968,0.958],[860.968,0.0]]",ESCAPE
Phase 2 (coarse),44,6.4808,7.8,90.0,46.7,69.9,74.5,64.8,116.6,45.6,125.8,29.9,0.0,789.4,22.0,0.0,11.9,74.0,217.9,0.0,278.3,2.9,0.98,1.00,0.99,0.85,0.13,0.36,0.79,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1008522147.05,5848215.56,1000000000.00,0.00,0.00,622396.74,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[7.8,90.0],[46.7,69.9],[74.5,64.8],[116.6,45.6],[125.8,29.9]]","[[11.9,74.0],[217.9,0.0],[278.3,2.9]]","[[0.0,1.0],[12.583,1.0],[12.583,1.0],[62.916,1.0],[62.916,1.0],[113.249,1.0],[113.249,1.0],[125.833,1.0],[1000000000.0,1.0]]","[[0.0,0.979],[99.179,0.979],[99.179,1.0],[287.246,1.0],[287.246,0.995],[623.136,0.995],[623.136,0.85],[789.416,0.85],[790.416,0.0]]",ESCAPE
Phase 2 (coarse),50,6.4961,5.8,90.0,48.8,78.6,66.3,60.6,114.6,49.9,124.4,29.8,0.1,712.9,11.8,0.0,6.1,75.0,138.8,0.2,174.6,0.0,0.99,1.00,0.93,0.78,0.12,0.35,0.93,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1001361184.30,5843682.76,1000000000.00,0.00,0.00,568360.80,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[5.8,90.0],[48.8,78.6],[66.3,60.6],[114.6,49.9],[124.4,29.8]]","[[6.1,75.0],[138.8,0.2],[174.6,0.0]]","[[0.0,1.0],[12.442,1.0],[12.442,1.0],[62.212,1.0],[62.212,1.0],[111.981,1.0],[111.981,1.0],[124.424,1.0],[1000000000.0,1.0]]","[[0.0,0.991],[82.515,0.991],[82.515,0.999],[249.335,0.999],[249.335,0.926],[661.786,0.926],[661.786,0.776],[712.892,0.776],[713.892,0.0]]",ESCAPE
Phase 2 (coarse),55,6.1052,0.3,89.8,49.9,73.7,77.5,61.7,118.1,45.5,126.4,29.7,3.6,923.4,0.0,0.0,16.8,69.3,258.1,2.5,191.4,0.2,0.96,1.00,0.97,0.88,0.15,0.30,0.93,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1001119562.22,5844797.48,1000000000.00,0.00,0.00,612099.38,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.3,89.8],[49.9,73.7],[77.5,61.7],[118.1,45.5],[126.4,29.7]]","[[16.8,69.3],[191.4,0.2],[258.1,2.5]]","[[0.0,1.0],[12.637,1.0],[12.637,1.0],[63.185,1.0],[63.185,1.0],[113.734,1.0],[113.734,1.0],[126.371,1.0],[1000000000.0,1.0]]","[[0.0,0.955],[141.886,0.955],[141.886,1.0],[280.69,1.0],[280.69,0.967],[855.271,0.967],[855.271,0.881],[923.445,0.881],[924.445,0.0]]",ESCAPE
Phase 2 (coarse),52,6.2892,7.7,89.7,48.5,67.8,84.3,62.4,109.9,47.0,132.2,22.3,1.6,656.9,14.7,0.0,18.3,74.0,110.7,0.9,184.0,1.0,1.00,1.00,1.00,0.84,0.07,0.42,0.79,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1008694480.72,5837536.42,1000000000.00,0.00,0.00,429020.69,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[7.7,89.7],[48.5,67.8],[84.3,62.4],[109.9,47.0],[132.2,22.3]]","[[18.3,74.0],[110.7,0.9],[184.0,1.0]]","[[0.0,1.0],[13.216,1.0],[13.216,1.0],[66.078,1.0],[66.078,1.0],[118.94,1.0],[118.94,1.0],[132.156,1.0],[1000000000.0,1.0]]","[[0.0,0.997],[47.404,0.997],[47.404,1.0],[274.537,1.0],[274.537,0.999],[519.477,0.999],[519.477,0.836],[656.85,0.836],[657.85,0.0]]",ESCAPE
